"Data Source","世界发展指标",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"海峡群岛","CHI","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"智利","CHL","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30520","29300","30320","32320","35640","38970","44900","51290","52010","54430","50420","48430","49119.9989318848","50200.0007629395","54970.0012207031","55970.0012207031","57150.0015258789","64569.9996948242","67989.9978637695","65449.9969482422","69750","76470.0012207031","78410.0036621094","83000","76559.9975585938","82230.0033569336","86489.9978637695","87069.9996948242","86610.0006103516","91370.002746582","","",
"中国","CHN","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173360","2302180","2418180","2645410","2767670","3088620","3070510","3134110","3236280","3153660","3346530","3529080","3810060.05859375","4415910.15625","5124819.82421875","5824629.8828125","6437470.21484375","6993180.17578125","7199600.09765625","7719069.82421875","8474919.921875","9282549.8046875","9541870.1171875","9984570.3125","10006669.921875","9861099.609375","9874660.15625","10096009.765625","10502929.6875","10707219.7265625","","",
"科特迪瓦","CIV","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2710","2790","2770","2960","3090","3370","4050","4970","4990","6830","6490","6490","6840.00015258789","5309.99994277954","5469.99979019165","5880.00011444092","5699.99980926514","5659.99984741211","6469.99979019165","6030.00020980835","6349.99990463257","6119.99988555908","8039.99996185303","8689.9995803833","9199.99980926514","9810.0004196167","9590.00015258789","10560.0004196167","10189.9995803833","10829.9999237061","","",
"喀麦隆","CMR","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","6970","6850","5770","4620","4680","4760","4860","5040","4790","5210","5160","5130.00011444092","5210.00003814697","5119.99988555908","5019.99998092651","5090.00015258789","6130.00011444092","6389.9998664856","7030.00020980835","7010.00022888184","6809.99994277954","6880.00011444092","7550.00019073486","8250","8460.00003814697","9079.99992370605","9170.00007629395","9590.00015258789","9430.00030517578","","",
"刚果（金）","COD","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3180","1740","1480","1900","2210","2110","2270","2270","2280","2090","1630","1570","1649.99997615814","2000","1940.00005722046","2210.00003814697","2279.99997138977","2470.00002861023","2549.99995231628","2500","2650.00009536743","3019.99998092651","2829.99992370605","3960.00003814697","5139.9998664856","3230.00001907349","2420.00007629395","2849.99990463257","3119.99988555908","3210.00003814697","","",
"刚果（布）","COG","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200","3190","3130","2690","2060","2640","3170","3270","3880","3960","4350","4240","2759.99999046326","3230.00001907349","3519.99998092651","4309.99994277954","4780.00020980835","4150.00009536743","4360.0001335144","4840.00015258789","5420.00007629395","5380.00011444092","5260.00022888184","5329.99992370605","5190.00005722046","5659.99984741211","5500","5409.99984741211","6489.99977111816","7260.00022888184","","",
"哥伦比亚","COL","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48730","50440","52510","55880","56780","59310","58650","64190","64440","55400","58340","58940","56770.0004577637","56110.0006103516","56110.0006103516","57639.9993896484","57689.998626709","59180.0003051758","59779.9987792969","62009.9983215332","63560.001373291","69099.9984741211","69699.9969482422","76860.0006103516","79199.9969482422","80230.0033569336","82680.0003051758","74989.9978637695","78589.9963378906","81040.0009155273","","",
"科摩罗","COM","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","70","70","80","80","80","90","100","100","110","109.999999403954","140.000000596046","150.000005960464","150.000005960464","170.000001788139","109.999999403954","109.999999403954","140.000000596046","170.000001788139","150.000005960464","159.999996423721","189.999997615814","170.000001788139","189.999997615814","219.999998807907","280.000001192093","300.000011920929","319.999992847443","","",
"佛得角","CPV","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","110","110","110","120","140","150","160","190","220","240","280.000001192093","310.000002384186","330.000013113022","439.999997615814","500","460.00000834465","479.999989271164","509.999990463257","540.000021457672","569.999992847443","529.999971389771","509.999990463257","500","500","550.000011920929","589.999973773956","610.000014305115","649.999976158142","","",
"哥斯达黎加","CRI","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2870","3060","4150","4180","4850","4810","4530","4490","5020","5030","4950","5420","5519.99998092651","5800.00019073486","5940.00005722046","6269.99998092651","6559.99994277954","7599.99990463257","7519.99998092651","7199.99980926514","7110.0001335144","7429.99982833862","7449.99980926514","7780.00020980835","7829.99992370605","7539.99996185303","8079.99992370605","8260.00022888184","8369.99988555908","8239.99977111816","","",
